"racetime","tall","weight","armspan","flexarm","thighci","calfcir","tricep","biceps","thigh","estffm","estfm","bestsnr","bestvj","legpower","endo","meso","ecto","expvarsity","preexper"
470.3,171.5,86.7,172.085,34.2,65.5,40.4,21,19,29,66.53111,20.14889,43,21,139.90643,6.8467,4.02678,0.29427,0,1
469.2,167.8,72.6,155.575,31.2,59.4,39.5,24,11,34,54.41205,18.17795,25,16,102.26945,6.09077,4.66443,1.00103,0,0
509,169.3,69.4,167,31,57.5,39,22,19,35,52.14987,17.25013,41,17,100.78434,5.78748,3.88055,1.5727,0,0
516,157.8,58.6,158.115,29.5,54,37,19,12,13,47.25539,11.33461,44,13,72.96047,5.75961,4.20958,1.20026,0,0
465,172,72.8,175.895,33,55,38,21,7,23,59.45383,13.31617,49,18,108.74211,4.84827,4.92608,1.61281,0,0
480.5,176.2,71.7,170.815,32.5,54.5,37,17,7,29,56.61784,15.11216,39,15,97.84882,4.38835,3.24785,2.49913,0,0
486.1,172.6,73,168.504,32.5,57.5,37,26,15,31,57.22733,15.77267,50,16,102.84708,5.56413,4.06645,1.64565,0,1
495.8,178.9,79.7,175.26,32.1,61,40,25,13,34,60.51644,19.16356,42,13,99.22325,6.20132,2.9018,1.8746,0,0
507,167.7,65.7,174.62,30.5,56,36.2,26,11,29,51.41977,14.26023,42,16,92.5342,5.83217,3.57257,1.88065,0,0
480.7,174.1,64.5,175.985,28,55.5,36.5,19,10,29,49.9376,14.5124,33,12,78.63623,4.70787,2.36412,3.20085,0,1
479.2,170.4,77,171.45,32.1,57,36.5,17,12,25,60.3576,16.5924,44,14,101.41023,5.91427,4.99988,0.93358,0,0
444,177.8,86,182.245,33,58.5,40,26,20,32,65.43927,20.51073,25,13,109.15074,7.23954,3.87277,1.03698,0,0
443.6,173.6,81.9,178.435,32.5,62.1,42.2,28,20,34,61.7012,20.1988,17,15,111.72199,7.21684,4.71813,0.89,1,1
457.4,158.1,79.2,157.48,32,62,39.1,24,21,39,59.51417,19.71583,31,14,104.41498,6.90525,5.72065,0.1,1,0
476.1,167.8,72,174.625,32.5,53.4,37.5,23,14,30,55.56727,16.38273,35,16,99.77133,6.06506,4.25812,1.04582,1,1
460.9,163.5,64.9,167.64,30.5,52.5,39.5,19,9,23,50.78295,14.12705,47,16,91.44937,5.06898,5.64973,1.20097,1,0
479.4,155.6,57,156.21,28.7,54,37,16,8,26,44.8566,12.0934,41,14,75.0528,4.87822,5.60058,1.08242,1,0
460,174.5,83.1,175.26,31.5,63,43.8,24,16,42,61.61812,21.52188,37,13,105.58223,6.51023,5.16692,0.90062,1,0
494.5,168.5,62.4,165.1,29,53,37.5,13,4,21,52.49228,9.91772,50,15,83.70421,3.72583,3.51853,2.48851,1,0
467.3,169.2,70.7,170.18,32,55,38.5,16,7,23,56.12811,14.55189,39,15,96.41649,4.97836,4.24212,1.40896,1,1
478.6,169,69,167.64,33,55.5,38.5,18,7,28,54.43933,14.56067,42,17,100.20345,4.34,4.543,1.59268,1,0
475.5,174.1,68.9,169.545,29.5,55,38.5,21,11,25,54.71161,14.19839,37,16,95.55584,4.40667,2.57747,2.50322,1,0
474.8,173,82.4,170.815,33,62,43,21,18,35,62.21855,20.14145,40,16,114.20663,5.79091,4.6492,0.78356,1,0
463.6,173.6,85.7,175.26,33.5,62,42.5,28,18,33,64.09117,21.63883,42,19,129.87568,7.11201,5.07865,0.59603,1,0
486.3,172.4,70.9,174.625,30.1,56,38,21,13,28,54.81687,16.08313,38,18,105.94772,5.7812,3.90948,1.90232,1,0
518.7,163.7,57.7,168.275,28,50.5,36.2,15,9,24,46.58317,11.14683,38,16,80.0528,4.33943,3.47708,2.46363,1,0
463,175.4,78.2,152.4,34,58.5,41,25,16,27,61.09351,17.13649,27,19,118.51364,5.54324,5.10178,1.41832,1,0
485.9,166.1,74.8,167.64,31.5,62,39.5,21,16,25,57.84816,16.92184,21,13,94.95289,5.79683,4.88707,0.63705,1,0
463.3,169.3,66.9,162.56,28.6,56.8,38.8,18,11,24,53.89928,13.01072,50,16,92.78249,3.91013,4.27192,1.94404,1,1
491,166.7,59.5,165.1,29.4,52.2,34,16,11,23,47.90067,11.59933,41,15,81.16555,4.55434,3.30393,2.70831,1,0
482,163.6,70.2,166.37,31.5,56,39,21,13,30,53.23777,16.94223,33,15,95.73442,5.15629,4.3785,0.75515,1,0
437,177.3,77.4,138.5,31,57,41,19,7,23,60.54587,16.85413,40,18,115.66084,5.80359,3.65732,2.1017,1,0
421.8,174.5,100.1,185.42,35.5,61,41.5,24,18,28,76.22307,23.82693,45,11,114.18811,7.23212,6.40452,0.1,1,1
418.2,177.8,89,170.18,33,62,43,22,13,34,69.092,19.908,46,13,110.82919,5.81557,5.64835,0.82771,1,1
414.7,172.9,78.7,167,31,60,41.5,17,9,32,61.7646,16.9354,49,12,96.02283,4.58737,4.76173,1.0303,1,1
450,176.5,63,176.53,28.5,52,36.2,12,5,24,51.42533,11.57467,43,17,91.49011,3.88239,2.80122,3.88733,1,1
406,177.5,99,185.42,38.5,65,44,20,28,24,78.15233,20.84767,50,20,153.97905,6.63116,6.81185,0.12,1,0
423.5,169.4,69.1,167.64,32,55.5,37.5,21,8,27,55.6534,13.3966,30,13,87.68887,4.55007,4.00232,1.6641,0,1
445.5,174.4,69.9,171.45,29,55,36.5,17,8,30,54.50596,15.36404,28,14,92.0797,5.43575,2.82433,2.40563,1,0
430,175.1,79.2,173.99,32.5,58.5,37,25,11,24,61.27317,17.95683,43,13,100.61679,6.94062,4.31787,1.22379,0,1
439.2,174.3,82.4,171.45,33,58,37,28,18,37,61.15928,21.25072,41,14,108.60581,7.48019,4.25572,0.92193,1,1
442,171,75.1,168.91,32.5,57,37,17,15,27,57.62647,17.47353,35,18,110.65425,5.13515,4.31672,1.13137,1,1
436,176.9,69.9,176.53,30,53.5,36.5,17,9,22,56.21688,13.64312,33,15,95.2979,4.61119,3.12052,2.84981,1,0
419.7,174.8,82.3,167.64,33,64.5,42,20,11,34,62.68807,19.61193,43,21,132.83686,5.53248,5.38755,0.97515,1,1
452,180.5,74,180.34,31,55.5,37,23,18,32,56.50035,17.45965,38,18,108.97454,5.79472,2.40755,2.2186,1,1
432,173.7,68.2,168.91,30,55,38,18,9,27,54.55717,13.67283,40,12,81.49546,5.03743,3.10975,2.50763,1,0
447,172.5,74,170.18,33,59.5,36,27,14,34,55.3846,18.5654,45,13,93.91155,6.3543,4.09118,1.48429,0,1
433,172.6,72.9,170.18,32,60,36.2,26,10,30,57.02261,15.88739,44,19,110.45416,5.98141,4.08242,1.64565,1,0
447,179.4,73,176.53,31.8,59.2,34,21,12,34,57.225,15.775,46,11,85.2763,5.17287,2.75275,2.83646,0,1
420.7,177.5,75.5,179.07,31,58,36,24,15,25,56.41967,19.08033,41,14,97.70639,7.16665,2.9775,2.13631,1,1
428.6,179.4,72.9,184.15,28,54.5,35.5,16,11,22,56.91855,15.94145,34,12,88.89737,5.28075,2.49327,2.83646,1,1
445,174.4,75.9,173.99,31.5,59,39,25,15,28,57.91155,17.94845,20,11,88.61726,6.46651,4.16945,1.59986,1,1
452,162.8,66,161.29,32,60,37,24,15,35,49.33433,16.66567,44,12,80.5274,7.32914,5.45918,1.02752,1,1
464.4,178.9,66.7,181.61,27.5,52.5,34.5,13,10,24,53.09327,13.60673,45,14,87.90205,4.29664,1.56358,3.67488,0,0
460.2,171.4,75.1,175.26,32,55.5,37.4,18,14,34,56.5028,18.5972,43,13,95.37197,6.19024,3.97305,1.17526,0,0
469,173.1,78.4,180.34,31,57.5,39,22,16,38,58.62953,19.77047,43,12,95.65679,7.25216,4.37873,1.09554,0,1
461,186.4,88.6,186.69,32.5,63.5,39.5,21,12,32,67.16705,21.42295,25,15,120.848,6.09705,3.2859,2.013,0,0
461,174.1,81.3,204.47,30.5,59.5,39,24,14,34,60.86883,20.40117,36,13,103.20745,6.38082,4.15578,0.98624,0,0
486.8,168.2,73.3,163.83,30.5,58.5,38,23,14,35,54.22049,19.04951,37,12,89.39762,7.45955,3.87485,1.00077,0,0
496,167.6,70,160.02,31.5,60,38,27,15,41,49.989,20.011,39,17,101.65568,7.22541,4.5666,1.20466,0,0
468,179.9,83.1,205.54,35,57,41.5,26,12,16,67.36845,15.77155,45,19,127.64269,7.0166,4.7231,1.62339,0,0
451.6,172.3,96.1,167.64,39,71.5,43,34,28,50,69.32407,26.72593,37,9,101.49105,8.25992,6.16815,0.1,0,1
469,168.6,73.2,166.37,32,59.5,39,22,15,36,54.61384,18.61616,37,13,99,6.84149,4.9347,1.04507,0,1
467.6,170.5,76.9,166.37,33.5,58,37,24,15,22,58.35361,18.55639,38,12,91.86305,7.34943,4.66453,0.94447,0,0
460,175.5,73.4,176.53,29,59.5,39,23,12,34,56.45661,16.95339,34,13,93.22578,6.34176,3.5988,2.08014,0,0
487.2,167.6,78.8,166.37,32,62,42.5,29,19,31,58.76523,20.05477,37,16,109.2978,7.51868,5.3714,0.4583,0,0
457.7,176.4,74.1,175.26,31,56.5,37.2,23,10,28,57.83545,16.30455,28,14,97.70701,5.7255,3.95363,2.164,0,0
459.9,175.9,67.6,171.45,29.5,56.4,37.5,16,8,27,53.73039,13.85961,37,13,85.83477,4.57565,2.69945,3.05607,0,0
473,171.3,73.6,165.1,30,57.5,38,23,15,25,55.4144,18.1356,32,14,95.18285,6.83011,4.04007,1.3464,0,0
433.3,185.5,83.2,187.5,34.5,59.5,39,25,16,28,64.15527,19.04473,35,16,115.37144,5.98021,3.415,2.49231,1,0
447.4,174.4,71.7,166.37,32,59.5,36,21,8,26,54.9646,16.7354,28,16,101.01556,6.25292,3.0147,2.18164,1,0
446,166.7,70.9,172.72,32,59,38,12,10,23,56.59628,14.31372,48,16,99.90256,4.74114,4.82297,1.01302,1,0
445,178.4,71.1,182.88,30.5,56.5,35.5,14,8,25,58.25005,12.83995,35,17,100.9,3.74687,2.51537,2.96319,1,0
433.3,174.8,90.1,175.26,36.5,63,41.5,24,15,34,68.1788,21.9212,37,18,132.75563,6.61664,5.77945,0.43527,1,0
440.5,174.4,78.6,173.9,33,59,36,21,14,21,62.5378,16.0622,48,16,108.99273,5.6488,3.74437,1.24729,1,0
449.8,181.9,73.3,189.23,30.5,55,38,23,14,29,57.27173,16.02827,32,14,94.85932,5.42882,2.14072,3.19823,1,0
433.5,174.6,78.7,171,35,61,39,24,14,31,61.14193,17.55807,30,15,107.35678,3.66283,5.80533,1.21378,0,1
451.2,172.5,69,173.99,29,54,38,14,5,21,55.00067,13.99933,40,17,100.20345,4.28905,2.87078,2.21756,1,1
437.3,172.2,72.4,175.26,32,58.5,37.5,14,9,24,58.5242,13.8758,49,14,95.41391,4.45152,3.55818,1.64791,1,0
416.3,181.9,78,178.4,33,54,36.1,18,8,22,62.58,15.42,33,15,106.4019,4.13999,2.77458,2.60286,1,0
460,181.5,84,186.055,33,63,37,23,9,34,63.90233,20.09767,43,14,110.70123,5.79355,2.95818,1.75288,1,0
428.4,177.1,74.5,182.88,31,57,40,20,8,27,60.36667,14.13333,42,20,117.34927,4.05991,3.71572,2.21268,1,0
447,173.6,73.8,176.53,31,59,39.5,19,9,28,55.95107,17.84893,50,17,105.58627,6.7637,3.88943,1.74821,1,0
420.7,173.1,81.6,177.8,34.5,61.5,41,26,9,34,62.0348,19.5652,40,14,105.60055,6.19186,5.66687,0.83666,1,1
495,163.8,62.4,163.83,29,54,35.5,19,10,21,50.94053,11.45947,34,8,60.19,5.29858,3.28712,1.62191,0,1
455.8,176.6,65.5,177.8,28,56,38.1,15,7,21,54.02933,11.47067,45,17,93.7114,3.21926,2.49292,3.49722,0,0
472.3,169.6,59.2,172.72,27.5,51.5,35.5,15,7,22,48.46993,10.73007,34,10,64.26768,4.63758,3.41135,3.25262,0,0
452.5,179.9,73.2,177.8,32,57,35.5,24,9,35,55.91693,17.28307,49,12,89.31221,5.13332,2.36153,2.92402,0,0
480.1,176.2,72.9,182.88,31,56,37.8,25,12,31,55.64953,17.25047,30,11,85.15948,5.70506,3.20767,2.27608,0,0
464,173.8,81,179.07,32.5,58.5,40.5,20,14,26,63.392,17.608,49,15,110.49428,6.04886,4.74335,0.95416,0,0
